Style;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;PitchRate;PrimaryTemp
American IPA;2082;1069;1016;696;5821;633;2839;60;1051;670;;;2111
Robust Porter;2082;1046;101;473;352;3443;946;60;1102;350;;;
American IPA;2082;1071;1018;696;8153;61;265;60;1056;750;125;;2111
American IPA;2082;1058;101;631;8095;631;2839;90;1043;700;125;;200
American IPA;290;1062;1015;618;6384;1057;320;60;1056;780;33;5;220
American Light Lager;120;1045;1,009E+16;482;6404;298;150;60;1036;350;;;180
American IPA;100;1062;1012;655;7026;388;40;60;1,154E+16;350;;;220
American Pale Ale;200;105;1008;539;8042;506;250;60;104;700;30;;200
Saison;300;1054;1015;52;238;452;300;60;1054;670;;;240
American IPA;2082;1065;1021;609;8428;687;2461;60;;750;;;
American Pale Ale;946;1051;1012;522;3338;608;159;60;1031;650;15;;1944
Robust Porter;210;1,059E+16;1013;608;3186;4033;110;60;1113;350;;35;680
American IPA;1893;1065;1015;654;7228;51;2461;60;105;810;15;35;2222
American IPA;1893;1,059E+16;1012;617;12206;531;2271;60;1,049E+16;350;;;1778
American IPA;946;1056;1011;597;6874;1412;757;60;107;350;;;
American Pale Ale;90;1052;1015;494;3496;745;145;90;;700;;;200
American Light Lager;1893;1055;101;591;3449;544;2461;60;1042;600;15;;2111
American Pale Ale;1893;106;1,019E+16;528;6218;1244;265;60;;720;;;
American Pale Ale;3785;1069;1,017E+16;675;8119;921;4164;60;;700;;;
Saison;4164;1051;1,009E+16;555;2108;35;511;60;1042;750;18;;1833
American Pale Ale;195;1052;1,009E+16;555;3429;99;230;60;1044;800;;;220
American IPA;946;1061;1018;554;4666;774;1703;60;1034;20;;75;200
American IPA;4164;1067;1,017E+16;659;0;459;4694;60;1,059E+16;700;15;125;
Imperial IPA;1893;1077;1015;823;13392;624;1041;60;1141;350;;;
American Pale Ale;1893;1047;1011;468;2822;697;6435;60;1014;400;125;75;2111
American IPA;1893;1053;101;561;5284;825;946;60;1,106E+16;350;;;
American Pale Ale;250;1056;101;61;3319;1031;290;60;1048;750;25;75;190
Irish Red Ale;60567;1055;1012;559;1831;1404;60945;60;1054;720;;10;1889
American IPA;1893;1,059E+16;1015;581;4781;81;2271;60;1,049E+16;700;125;;200
Saison;2082;1046;1011;451;2825;77;2839;60;1034;550;15;;
American IPA;2271;1036;1005;407;521;931;2839;60;1,029E+16;590;;;1556
American IPA;2082;106;1014;603;7812;1556;2082;60;106;350;;;
Robust Porter;1893;1058;1014;567;3936;2727;265;60;1041;680;;5;200
Saison;2271;106;1,017E+16;571;1705;642;3157;90;1043;700;;10;2056
Imperial IPA;2082;1088;1016;946;3406;823;1893;90;;700;;;
Imperial IPA;4164;1079;1018;806;11313;1146;4921;90;1067;750;;10;200
American IPA;240;1062;1012;655;4852;2547;285;60;1053;800;30;;220
Saison;2082;1067;1014;701;3585;555;265;60;1053;750;125;35;2944
Saison;757;1053;1,009E+16;568;3356;581;1514;60;1026;720;;35;1944
American IPA;2082;1,066E+16;1016;646;8126;1661;1136;60;112;350;;;
American Pale Ale;1893;1051;101;547;3918;632;2271;60;1043;350;;35;1833
American Amber Ale;1893;1044;101;442;1864;1551;1136;60;1073;350;;35;1833
American IPA;250;1,049E+16;101;505;503;1414;285;60;1043;640;40;75;200
American IPA;2082;1064;1018;593;10621;524;1136;60;1117;350;;35;2167
American IPA;45;106;1013;613;5659;722;60;60;1045;350;;;
American Amber Ale;210;1058;1016;551;4331;1817;285;60;1043;750;;;200
American Pale Ale;40;106;1015;586;3514;354;70;60;1034;820;;;180
American Pale Ale;210;1052;1,009E+16;569;3857;921;255;60;1043;750;;75;180
Blonde Ale;1893;105;1014;471;2078;409;2461;60;;700;;;
American IPA;2082;1063;1014;651;547;679;1136;60;1,116E+16;350;;;200
Sweet Stout;2082;1055;1016;517;1878;500;265;60;1043;750;105;75;1889
American Pale Ale;210;1052;1011;539;2692;697;270;60;104;700;25;35;200
Saison;400;124568;210692;552;2491;565;440;60;114;750;20;75;200
Imperial IPA;400;1071;1015;731;7758;804;438;60;106;700;31;;190
American Light Lager;210;1087;1022;861;0;2463;110;60;1167;350;;;
Saison;1893;1,059E+16;1012;622;2005;394;265;90;1042;750;;35;2111
American Pale Ale;2082;1057;1013;583;4379;627;2461;60;1045;800;18;10;200
American IPA;1609;107;1,017E+16;687;10829;448;2366;90;1047;750;;75;1667
American IPA;220;1065;1011;705;13305;491;285;90;105;700;31;75;190
Sweet Stout;2082;1065;1026;521;2392;4301;2839;60;1048;680;125;;2056
Sweet Stout;230;1069;1025;583;2994;3595;260;60;1061;700;30;;190
American IPA;1893;1075;1013;814;780;885;265;60;1054;640;13;35;2111
American Pale Ale;290;1058;1014;569;516;825;335;60;105;660;;10;200
Saison;200;1061;1012;646;3731;1269;254;60;1043;730;30;;210
American Light Lager;2082;1081;102;802;5657;3596;2461;60;1069;700;15;;
American IPA;2082;1072;1013;774;9916;623;2839;60;1053;650;15;10;1833
American Amber Ale;230;106;1,017E+16;562;10146;1156;290;60;1047;750;;;200
American Amber Ale;145;1051;1013;50;6186;153;225;60;1033;740;;;190
American IPA;1893;1078;1016;812;8679;989;265;60;1056;740;15;75;1833
Blonde Ale;1200;104;101;385;3336;356;450;60;1,106E+16;650;;35;200
American IPA;2082;1074;1016;759;10841;3814;2839;60;1055;700;133;;
American IPA;2082;1062;1012;658;9756;986;2953;60;1044;730;;;
American IPA;215;1055;1012;569;1291;421;260;60;1045;700;;;170
American IPA;1968;1061;1012;649;6203;1052;265;60;1045;720;15;35;2222
American Pale Ale;1893;1053;101;561;6956;1041;1136;60;1088;350;;;
American IPA;2082;1074;102;70;932;889;2839;60;1054;700;;125;200
American Pale Ale;2082;1054;1014;529;3142;591;2839;60;104;750;13;75;
American Pale Ale;320;126423;237761;549;317;754;420;60;97;680;30;;190
American IPA;1893;1058;1014;587;8248;753;2271;60;1,049E+16;350;;;
American IPA;2082;1069;1016;694;7209;746;3202;90;1045;700;125;75;200
Saison;2082;1067;1,019E+16;635;3584;386;2839;60;1,049E+16;700;15;75;1889
American IPA;1893;111;1025;1113;8121;1137;2839;60;1073;700;15;;
American IPA;1893;1,076E+16;1014;823;9002;659;2461;60;1,059E+16;700;15;75;1667
American IPA;1893;1,066E+16;1,017E+16;637;10665;964;946;60;1131;350;;;2333
American IPA;250;1062;1012;648;7935;847;330;60;1047;710;30;;
Blonde Ale;320;1052;101;548;280;579;450;60;1037;700;40;5;270
Saison;1893;1,049E+16;101;509;2647;663;2839;60;1032;630;;125;
American IPA;1893;1068;1,017E+16;663;0;772;1893;60;;750;;;
Blonde Ale;500;1044;1008;473;2906;599;600;90;1037;670;28;;180
Imperial IPA;1893;1113;1015;1282;12391;841;2839;90;1075;700;15;35;2056
American Pale Ale;50;1052;1013;508;379;733;100;60;1026;600;;;
American Amber Ale;4164;1064;1012;688;619;1092;4921;60;1054;700;133;;
American IPA;430;108;1015;849;7182;4811;450;60;1,076E+16;750;;10;200
Imperial IPA;2082;1071;1018;695;21553;589;265;90;1055;650;15;;
Imperial IPA;5489;194592;288567;909;21567;641;530;75;201;795;15;125;200
American IPA;4353;1077;1012;847;8125;623;5451;60;1061;740;;;1667
American Pale Ale;2082;1051;1008;57;5223;2528;2839;60;1037;350;;5;1833
American Light Lager;2271;1063;1011;675;8295;2344;2839;60;105;700;12;20;200
Saison;120;1054;1011;56;2171;497;170;60;1038;750;;;300
American Amber Ale;2271;1054;1013;532;4428;1012;3218;60;1038;700;15;35;200
Sweet Stout;1893;1055;102;456;5366;3142;1136;60;1091;350;;35;
American Light Lager;200;99904;255995;394;113;375;200;60;100;740;30;;
American Amber Ale;1893;1065;1015;648;2997;2093;2461;60;105;800;15;75;200
American IPA;2082;1064;1013;681;6737;3525;2839;60;1047;700;15;5;1833
Blonde Ale;4164;1,059E+16;1011;636;2665;517;5678;60;1044;750;125;;
Saison;250;1038;1,007E+16;411;2611;531;300;90;1032;350;40;;200
Sweet Stout;2082;1063;1,017E+16;60;266;3863;265;60;1,049E+16;730;125;;200
Saison;4164;1085;1024;806;4369;677;4732;60;1075;700;;;
American IPA;230;1043;1013;384;4596;45;330;60;103;700;;75;
American Amber Ale;4164;1055;1014;538;2143;1316;530;60;1043;800;14;10;1889
Blonde Ale;379;1052;1015;487;3694;428;473;60;1041;700;;;1778
American Amber Ale;10641;153642;3,99466E+16;617;3351;997;11201;75;146;790;29;;180
American IPA;2271;1,066E+16;1,017E+16;645;6099;53;2744;60;1052;750;13;10;1778
Irish Red Ale;210;1044;1008;463;2619;107;285;60;1032;700;;35;180
Saison;2082;1056;101;601;2918;451;2839;60;1041;700;12;10;2111
Imperial IPA;210;1046;1006;526;8765;691;280;90;1035;650;;;200
American IPA;550;1067;1,017E+16;657;824;96;650;90;1056;700;30;10;190
Saison;1893;1047;1,009E+16;504;267;386;1136;60;1079;350;;35;
American IPA;379;1058;101;638;8658;98;1136;60;1,019E+16;530;;35;200
Irish Red Ale;2082;1064;1018;611;1815;1595;2839;60;1047;680;;75;2056
American Pale Ale;220;1046;1011;465;4627;419;260;60;1,039E+16;750;642;75;160
American Pale Ale;240;1042;1,009E+16;42;0;516;285;90;1035;770;30;;200
Blonde Ale;500;1052;1013;511;3025;655;500;60;1052;700;30;;
American IPA;2082;1068;1016;678;8112;817;2839;60;105;750;;;
Saison;90;1045;1008;48;7737;304;120;60;1033;710;40;;210
American IPA;2461;1065;1016;637;5553;1038;2839;60;1056;720;13;35;200
American IPA;1987;1,066E+16;1011;719;6624;639;2972;60;1044;700;125;5;1889
American Light Lager;15000;1078;1013;852;6817;539;18000;60;1065;650;30;10;190
American IPA;2082;107;1,017E+16;695;6747;737;1514;60;1,096E+16;750;;10;1833
American IPA;2082;1071;1011;796;6065;554;3407;60;104;680;;;
American Pale Ale;2082;1054;1014;534;6887;656;2839;60;104;600;133;;1889
Imperial IPA;2271;1074;1011;83;25093;714;3218;90;1052;750;175;125;1667
American Pale Ale;200;1053;1013;532;4779;515;265;60;104;700;;10;160
American IPA;6435;105;1011;512;468;1116;7571;60;1042;700;15;;200
American IPA;200;1067;1013;703;7492;983;260;60;1051;650;;5;190
American Pale Ale;2082;104;101;397;0;37;2461;60;1034;700;125;;
American Amber Ale;189;1,049E+16;1,017E+16;42;3029;1878;303;60;103;700;;;220
American Pale Ale;2271;1,049E+16;1011;502;3921;504;2934;60;1038;700;;5;200
American IPA;2082;1065;1018;619;6976;82;2839;60;1048;820;15;;
American IPA;200;1055;1011;58;5197;1097;250;70;1044;730;;10;210
American IPA;2082;107;1018;677;704;607;2271;60;1064;750;;35;2111
Sweet Stout;5678;1079;102;777;0;3334;6435;60;107;750;14;;
American IPA;1893;1056;1011;593;7315;612;946;90;1112;350;;35;2111
Blonde Ale;1893;105;101;532;1208;239;2082;15;1045;350;;75;1833
Saison;2082;1052;1011;545;196;2102;2839;90;1038;600;15;5;2111
American IPA;379;1053;1,009E+16;581;6192;956;757;60;1,027E+16;350;;;200
Robust Porter;2082;1,076E+16;1021;718;321;3447;3218;60;1,049E+16;700;15;5;2111
American IPA;6719;1061;1014;617;3217;385;7571;60;1048;700;125;5;1833
American Pale Ale;210;1054;1015;512;2749;978;110;60;1103;350;;;
Imperial IPA;757;1083;1023;781;13797;817;123;60;1051;600;;10;200
American Light Lager;2082;1063;1016;621;5503;4987;2839;60;1046;700;15;;
Blonde Ale;2082;104;1,009E+16;411;1925;417;1136;60;1063;350;15;;
American IPA;40;1061;1015;604;5619;939;60;60;1041;350;;5;
American IPA;210;1068;1012;732;653;1001;285;60;105;750;;;
Blonde Ale;1300;1044;1011;429;1816;455;1500;60;1038;800;33;75;160
American IPA;2082;1056;1,009E+16;607;5949;928;2839;60;1041;750;15;20;1778
American IPA;210;1061;1016;596;5041;567;250;60;1051;680;35;;180
American IPA;250;1,066E+16;1016;664;6081;838;300;60;1055;700;30;75;180
Imperial IPA;2082;1,096E+16;1024;944;18288;4284;1136;60;1176;350;;;200
American Amber Ale;2082;1056;1011;588;3692;1061;1136;60;1102;350;;75;1944
American IPA;1893;1067;1014;689;7322;974;2839;60;1044;700;1625;35;1833
American Pale Ale;200;1053;1015;507;4081;51;285;60;1037;840;180;;210
Saison;400;1072;101;817;3617;563;490;70;1,059E+16;740;30;;200
Saison;2271;1053;1013;531;8743;637;2839;60;1036;750;15;35;2611
American IPA;1893;1048;1015;431;4782;639;2461;60;1037;700;125;5;200
American IPA;2082;1072;1,017E+16;719;13881;622;2839;60;1053;700;125;5;200
American Amber Ale;1987;1071;1018;704;6294;1452;2214;60;1064;730;125;75;1778
American IPA;250;1061;1015;601;6213;859;288;60;1053;780;;10;180
Sweet Stout;2461;1046;1011;464;3298;3477;265;60;1043;750;;;
American Light Lager;2082;1079;102;776;8987;528;3028;60;1054;700;15;;
Irish Red Ale;210;1056;1014;546;5489;1986;285;75;1041;700;30;;
American Pale Ale;3028;1054;1,009E+16;578;3702;767;3785;60;1043;720;;;1833
American IPA;450;1067;1013;703;5118;969;560;60;1054;800;40;10;200
American Light Lager;2082;1005;1001;46;0;428;2839;60;1003;350;;;
American Light Lager;2082;1061;1015;601;2805;697;1136;60;1112;350;;;
American IPA;4164;1064;1018;607;6157;858;530;60;1051;800;15;75;200
American Pale Ale;2461;1053;1,009E+16;572;4063;401;3028;60;1043;680;15;35;1889
American IPA;2082;1065;1015;648;10124;64;2839;60;1047;660;15;10;1944
American IPA;2158;1,066E+16;1012;711;12987;561;3123;60;1045;710;13;75;200
Imperial IPA;3218;1,086E+16;1,019E+16;884;10533;1464;4164;75;1067;670;15;;
Blonde Ale;2082;1051;1013;505;1456;577;1136;60;;500;;;
American IPA;1893;1044;1008;471;4949;955;2082;60;104;680;;;
Saison;1893;1084;1021;832;2881;75;2461;60;1065;700;125;10;2111
American IPA;2082;1067;1015;684;9436;934;2461;60;1057;660;;;
Saison;310;1,059E+16;1008;664;2641;577;370;60;1,049E+16;650;30;35;250
American IPA;350;106;1,017E+16;57;7627;1005;380;60;1056;630;;;180
Saison;2082;1,066E+16;1,017E+16;654;3236;838;265;90;1052;700;15;;
American Amber Ale;2082;1063;1,017E+16;605;4885;2337;2461;60;1054;426;;;2333
Imperial IPA;2271;1072;1016;776;26871;633;3028;90;1054;750;125;35;1944
Saison;500;1063;1013;652;2499;783;680;90;1046;750;30;10;210
American Pale Ale;150;1057;1013;586;2723;1112;150;60;1057;650;;;180
American IPA;2082;1063;1012;672;6715;693;2839;60;1046;700;7;;
American IPA;4700;1033;1006;354;4496;539;4900;60;1032;850;15;;
American IPA;2082;1103;1024;1046;7377;1527;2839;60;1,076E+16;750;;5;1889
American Pale Ale;7571;1056;1013;56;4366;609;8706;60;1,049E+16;800;15;75;1556
Saison;1893;1071;1012;767;3176;754;2271;60;1052;350;;;200
American IPA;330;1067;1013;708;8659;849;390;60;1057;750;31;10;
American Pale Ale;2082;1051;1,009E+16;543;2683;845;2839;60;1037;700;;35;200
American IPA;1514;1064;1016;625;13445;609;1136;60;1085;350;;;1778
Imperial IPA;210;1079;1014;856;14859;1036;250;60;1067;700;;;190
American Pale Ale;420;1057;101;612;4484;845;520;60;1046;690;10;;190
Blonde Ale;2082;1041;1011;383;2102;373;2461;60;;700;;;
American Pale Ale;200;1043;1008;449;4265;37;280;60;103;550;34;;200
American Pale Ale;2082;105;1,009E+16;533;5287;485;2839;60;1037;700;125;;1611
Saison;940;1048;1,009E+16;514;2755;474;940;60;1048;820;29;;220
American IPA;2082;1065;1018;627;4574;558;2461;60;1055;750;15;75;200
American Pale Ale;260;1055;1012;567;3562;1018;290;70;1,049E+16;800;27;;
American Pale Ale;43154;1056;1014;547;5561;1175;46939;60;1051;750;15;10;200
American Pale Ale;140;1041;1,007E+16;438;4791;55;210;60;1,027E+16;600;;;150
Saison;1893;1063;1012;672;3811;1176;1136;60;1105;350;;5;
American IPA;2082;107;1012;752;8684;1035;265;60;1055;710;148;10;1889
American Pale Ale;230;1051;1,009E+16;552;4894;352;280;60;1042;770;30;75;170
Imperial IPA;2082;1085;1024;802;12653;2638;2839;60;1063;750;15;125;1944
American IPA;210;1058;1012;597;6726;849;260;80;1046;650;20;125;170
Saison;200;104;1,007E+16;436;99;305;300;60;1,027E+16;750;30;;190
American IPA;2082;107;1012;762;9635;586;2839;60;1051;720;;;1833
Robust Porter;3975;1062;1016;599;4139;346;4921;60;1047;750;15;;200
American Pale Ale;250;1051;1,009E+16;552;3745;704;290;90;1044;750;30;35;200
Saison;379;1064;1013;673;2521;462;454;60;1053;700;125;5;
American Pale Ale;500;1055;1011;576;5041;532;610;60;1045;650;;;200
American IPA;1893;1051;1,009E+16;555;3398;784;265;60;1037;700;;35;2111
American IPA;200;1026;1006;26;2411;364;250;60;1021;750;30;75;210
Saison;2082;1065;1014;665;2877;808;2839;60;1048;700;15;;200
American IPA;2082;1061;1012;647;6159;657;2839;60;1045;750;15;10;1833
Saison;530;147035;321156;641;4714;592;530;60;147;690;;;2278
American IPA;2082;106;101;659;5535;1422;2082;60;106;650;13;;1833
American IPA;11356;1043;1008;452;2164;498;12113;90;104;850;125;75;200
American IPA;1893;1051;1014;483;6185;802;946;60;1102;350;;;200
American IPA;1893;1067;1013;706;6019;724;2177;30;1058;350;;75;1833
American IPA;265;1071;1,017E+16;718;10266;991;3407;60;1056;750;15;;
American Light Lager;2082;1053;1,009E+16;579;1812;1138;3407;60;1032;700;;;
Blonde Ale;100;1,049E+16;1,009E+16;516;1473;617;150;90;1032;750;3235;;
American Pale Ale;757;1054;1015;509;3812;872;1136;60;1036;600;;5;200
American IPA;500;1065;1012;685;6671;673;580;60;1056;700;;;180
American Amber Ale;210;1053;1013;526;5891;1569;285;60;1,039E+16;620;40;;200
Imperial IPA;280;1074;1024;651;1743;2105;380;90;1047;400;30;10;250
American IPA;250;1077;1016;799;3084;120;160;60;112;350;;;250
Blonde Ale;200;1043;1,007E+16;471;1776;51;200;60;1043;350;30;35;200
American IPA;2271;1042;1008;449;16561;403;2839;60;1034;600;;10;1556
American IPA;4921;1054;101;582;5556;363;43532;60;1061;800;13;;200
American IPA;2082;1055;1013;562;6162;642;2839;60;1041;780;12;;
American IPA;1893;1061;1015;602;7774;1177;1136;60;1102;350;;;
American Pale Ale;120;1051;1014;479;3647;619;165;60;1037;650;40;;190
Irish Red Ale;230;1052;1013;513;2238;1212;269;60;1044;750;27;75;180
American IPA;1893;1063;1011;672;8087;776;2271;60;1052;650;;5;1889
American IPA;2082;1071;1,017E+16;712;36483;61;2839;90;1052;750;15;;
American IPA;2271;1064;1011;688;4656;1089;2744;90;;730;;;
American IPA;2082;1063;1011;677;4218;1013;2839;60;1046;700;;75;1944
American IPA;215;1055;1012;567;3733;787;260;60;1046;700;;;
American IPA;1893;1057;1014;565;6859;403;2271;60;1048;700;;75;200
American Amber Ale;2082;1055;1013;56;2612;107;2555;60;1045;730;125;75;1889
American Light Lager;250;1044;1008;478;4618;293;280;60;104;700;30;;120
American IPA;1893;1058;1015;584;5243;407;2839;60;1038;650;125;35;2111
American Pale Ale;2082;105;1,009E+16;528;4337;398;2839;60;1036;700;;35;200
American IPA;300;1067;1016;708;7123;1211;390;60;1052;650;30;35;190
Imperial IPA;1931;1,096E+16;103;87;8274;1066;1514;60;1122;350;;125;200
American IPA;2082;1065;1015;688;6772;798;3028;90;1045;700;15;5;
Sweet Stout;2082;1052;1018;449;2393;3543;2271;60;1048;700;;35;1778
Imperial IPA;2082;1075;1014;80;1015;1192;3028;60;1052;700;20;;
American IPA;1136;1071;1014;758;5864;711;1325;60;1061;350;;;1778
Saison;1893;1,049E+16;1,009E+16;531;2288;346;2839;90;1033;750;15;75;1889
Saison;946;1054;101;577;3234;1903;946;90;1054;600;18;35;2167
American Pale Ale;500;106;101;659;4813;766;790;60;1038;750;30;;
American Amber Ale;170;1053;101;567;3205;1303;100;60;1091;350;;35;200
Sweet Stout;1893;1085;1,017E+16;966;4216;1438;2271;60;1071;350;;75;
American Pale Ale;2400;1037;1008;375;3134;384;2700;60;1033;750;25;;
American Amber Ale;1893;1068;1,017E+16;664;0;1481;1325;60;;750;;;
American Pale Ale;1893;1055;1014;538;343;663;2271;60;1046;700;125;;
American IPA;2082;1,076E+16;1012;836;11736;476;265;60;1,059E+16;750;15;;
American IPA;2271;1028;1005;308;6832;896;2839;60;1023;650;133;10;1889
Blonde Ale;1893;1052;1012;521;2042;455;2461;60;104;690;15;35;1222
Imperial IPA;1893;1068;1,017E+16;672;0;684;265;60;;750;;;
American IPA;2082;1067;1018;655;5517;675;2839;60;1,049E+16;700;15;15;2111
American IPA;1893;1056;1011;594;5342;69;2271;60;1047;780;;10;1333
American Pale Ale;379;1,059E+16;1015;583;3895;653;757;60;103;640;15;;
American IPA;4164;1068;1015;698;6622;548;511;60;1056;740;133;5;1944
Irish Red Ale;350;124122;3,20141E+16;493;2783;1218;385;60;113;800;35;35;200
American IPA;1514;1084;1021;828;6829;607;1893;60;1067;800;15;;
American IPA;2082;1062;1014;625;5473;385;2744;60;1047;800;;75;1889
Imperial IPA;2082;1085;1022;831;12024;1095;265;90;1067;800;15;125;200
American Pale Ale;230;1043;1,009E+16;45;4315;848;280;60;1035;600;30;;180
American IPA;1700;1054;1,009E+16;586;384;791;1100;60;1083;560;30;75;150
Imperial IPA;1893;1081;1,017E+16;843;11842;1278;265;60;1058;700;15;;2111
American IPA;2271;1,066E+16;1015;666;4958;1114;3028;60;105;700;15;;
American IPA;240;1045;1008;482;3677;369;270;60;104;650;;35;220
American Amber Ale;1136;1053;1012;541;5045;1605;606;60;1056;500;;35;1944
Robust Porter;1893;1,049E+16;1012;489;4524;3015;2082;60;;350;;;
American IPA;3028;155157;336484;658;9171;628;3785;60;125;700;;35;1833
American Light Lager;2082;1065;1018;613;1574;433;2839;60;1048;700;15;;
Saison;2271;107;1004;862;4312;382;265;60;106;800;133;10;2222
American Light Lager;3785;1052;1,007E+16;582;1276;232;1893;60;1103;0;;;200
American Pale Ale;200;1044;1008;466;11175;845;140;60;1063;350;;;
American Amber Ale;1893;1045;101;457;1843;1149;1136;60;1075;350;;35;
American Light Lager;350;1055;1013;553;6673;673;450;90;1043;750;348;;
American Light Lager;1893;1005;1001;47;0;85;2461;60;1004;740;15;;
American IPA;210;1072;1,017E+16;72;7348;81;284;60;1053;700;29;75;185
American IPA;2082;1063;1014;644;6243;1195;2839;60;1046;700;15;;1889
American Pale Ale;210;1044;1008;473;5994;715;260;60;1035;800;;75;185
Saison;2082;1052;1004;636;2537;288;265;75;1041;850;175;;2111
American IPA;210;1056;1011;593;5274;437;285;60;1041;650;30;;200
American IPA;1893;107;1026;583;635;479;265;60;105;750;;;
American Amber Ale;2461;1065;1014;677;2521;1675;3028;60;1053;750;;10;1889
Blonde Ale;2082;105;1008;55;2408;461;265;60;104;700;125;;200
American IPA;1893;106;1014;605;5827;565;1514;60;1075;350;;;200
American Pale Ale;180;1043;1008;454;8076;694;330;60;1023;450;;5;200
Irish Red Ale;2082;1,049E+16;1015;452;2043;1397;2839;60;1036;700;12;;
American IPA;1893;1074;1011;83;10244;486;2347;60;106;720;133;;200
American IPA;4164;1055;1011;579;4347;559;530;75;1043;700;;;1833
American IPA;1893;1064;1,019E+16;588;5886;882;2461;60;1,049E+16;670;14;;2167
American IPA;3407;1067;1013;70;6124;1289;4732;60;1048;730;14;;1778
American Pale Ale;5300;1041;1,007E+16;44;7516;293;5750;70;1038;900;15;;
American IPA;2271;1057;101;624;8852;468;2744;60;1047;700;29;;1778
Blonde Ale;1041;1041;1012;38;294;424;142;45;103;750;;;200
American IPA;2082;1055;1013;549;8421;941;2839;60;104;680;13;75;
American IPA;2082;1069;1016;696;6691;712;2461;60;1058;750;;75;1944
American IPA;220;1062;1013;645;7228;997;270;60;105;720;30;;
American IPA;2082;106;1018;555;6265;767;2461;60;1051;750;125;125;1944
Blonde Ale;2100;1053;1015;495;2261;829;2150;60;1052;810;;;
American Light Lager;210;1119;1022;1274;5376;766;250;60;11;750;;;
American IPA;3785;1,066E+16;1012;709;6369;1175;530;60;1047;700;;5;1556
American Light Lager;230;1053;101;565;10894;2813;285;60;1043;700;30;;200
Saison;1893;1064;1011;693;380;517;2461;90;1,049E+16;750;125;;
American IPA;2177;108;1022;77;11051;493;2461;60;1071;800;;35;2111
American Pale Ale;1136;1042;1011;396;3939;736;1514;60;1031;650;2285;35;1889
American Pale Ale;2271;1047;101;483;3554;867;265;60;104;700;15;;
American IPA;140;1044;101;454;7728;1048;190;60;1033;550;;75;180
American IPA;240;1067;1,019E+16;634;6302;1109;320;90;105;730;;;
American Pale Ale;1987;1058;1014;567;3928;875;2461;90;1047;720;;10;1944
American IPA;6057;1043;1,009E+16;448;6492;452;6435;60;1041;700;125;35;1944
Sweet Stout;400;1072;1,017E+16;72;1535;500;285;60;1101;700;25;;
