Style;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;PitchRate;PrimaryTemp
Imperial IPA;195;1088;1021;883;7285;1027;230;60;1075;700;31;;200
American Light Lager;160;1055;1,009E+16;597;0;2212;200;60;1044;650;30;;
American Light Lager;2082;1078;1018;792;0;3347;2839;60;1057;750;15;;
American Pale Ale;2082;1057;1018;518;4415;816;2839;60;1042;750;15;5;200
Saison;1893;1,059E+16;101;647;3366;34;265;60;1042;750;15;125;2389
American Amber Ale;2082;1055;1013;561;528;104;2839;60;1041;730;125;;200
American Pale Ale;190;1052;1,009E+16;571;4007;1026;275;60;1036;650;;;220
Saison;120;119585;223286;518;2758;305;140;60;103;700;31;;
American Pale Ale;400;1051;1,009E+16;571;3647;587;300;60;1068;750;27;5;210
American Amber Ale;200;1055;101;591;3656;1278;260;60;1042;700;25;;220
American Pale Ale;1703;1054;1,009E+16;592;4932;783;2082;70;1044;700;;;
Irish Red Ale;2082;1053;1012;526;2664;1374;2839;60;1,039E+16;750;;;1833
American Light Lager;2271;1038;1,007E+16;408;748;276;1893;60;1045;350;;;1278
American Amber Ale;460;1,059E+16;1014;591;3148;1271;500;60;1055;850;47;;
American IPA;2271;1067;1,017E+16;657;6177;1267;3218;90;1047;720;15;;
American IPA;2082;146544;3,92483E+16;581;8594;679;2839;60;109;700;;35;200
Imperial IPA;4164;1,098E+16;102;102;5981;1973;4921;60;1083;750;15;125;200
American Amber Ale;4542;1043;1008;461;2404;1424;5485;60;1036;740;15;;
American Pale Ale;400;1,049E+16;1011;499;3636;507;450;60;1044;800;30;;
American Pale Ale;1514;1046;1012;441;3835;51;1893;60;1037;620;125;;1833
American Pale Ale;240;1052;1014;503;3326;526;290;90;1043;780;;;210
Sweet Stout;363778;1,116E+16;103;1121;2569;500;369835;60;1114;700;125;125;200
American Light Lager;140;1062;1015;608;0;405;170;60;1051;700;30;;
American Amber Ale;100;1052;1,009E+16;578;3994;1248;150;70;1035;710;;;200
American IPA;3785;1045;1013;424;6362;791;4542;60;1037;750;175;5;2056
American IPA;2082;1073;1018;719;5975;824;2839;60;1054;700;175;;
Irish Red Ale;400;1058;1011;607;297;1664;450;70;1051;600;31;;190
American IPA;3785;108;1,017E+16;827;428;905;2839;60;1107;900;15;10;2111
American IPA;4164;1,066E+16;1,019E+16;625;11735;894;4353;60;1063;700;95;;
Blonde Ale;230;1044;1008;465;1771;473;280;60;1036;700;;75;180
American IPA;1893;1071;1014;756;8524;654;1136;60;1,118E+16;500;;;
Imperial IPA;1893;1087;1022;855;20764;1033;2271;60;1072;350;;;2111
American Pale Ale;2082;1047;1008;508;2296;557;279;60;1035;680;;75;1889
American Pale Ale;200;1053;101;556;4739;1446;260;60;1041;700;15;;180
Sweet Stout;1893;1074;1023;671;2122;400;1136;60;1124;700;;35;200
Saison;230;1058;1016;547;373;314;280;60;1041;750;343;75;250
Robust Porter;230;1063;1013;666;3793;3994;322;60;1045;700;30;;180
American IPA;1968;1058;1015;57;0;103;2423;60;;580;;;
Irish Red Ale;230;1045;1012;431;2508;1203;290;60;1036;720;25;75;185
American Pale Ale;2082;1054;1014;529;3835;659;265;60;1043;720;125;35;1778
Sweet Stout;1893;1054;1,019E+16;455;3063;304;2839;90;1036;650;15;75;200
Blonde Ale;379;1071;1024;62;4966;331;379;60;1071;350;;75;2222
Robust Porter;350;1064;1016;633;4105;2522;420;90;1054;550;;;
American IPA;117348;141261;261347;619;5213;1004;117348;60;141;850;15;;
American IPA;1893;1074;1,019E+16;729;6671;712;2839;60;;750;;;
American Amber Ale;2177;1052;1012;53;3537;1581;2461;60;1046;750;145;35;200
American IPA;340;1065;1012;702;5595;833;400;70;1055;610;30;;
American Light Lager;4164;1074;1,019E+16;733;5593;3001;5678;90;1055;800;14;;
American Pale Ale;117348;124857;21699;551;4706;779;140817;60;105;850;15;;200
American Light Lager;2271;1056;1014;546;0;399;2839;60;1044;750;15;;
American IPA;1893;107;1021;65;12422;567;1136;60;;350;;;
American IPA;230;1046;1008;49;5812;43;300;60;1035;700;30;;
American IPA;220;1,066E+16;1011;719;476;668;285;60;1051;700;;;180
Irish Red Ale;757;1051;1012;512;254;1494;946;60;1041;700;;;
American IPA;2839;1082;1028;713;4603;467;3218;60;1073;790;;;200
American Pale Ale;210;1055;1016;502;2819;911;110;60;1104;350;;;
American IPA;3785;1071;1012;772;8837;87;4542;60;1,059E+16;650;15;35;2222
American IPA;200;121134;282991;496;6548;831;225;60;108;600;315;75;180
American IPA;2271;1064;1014;653;7685;754;2839;60;1051;700;11;35;
American Pale Ale;185;105;1011;514;4352;666;150;60;1062;620;;5;200
American Pale Ale;2082;1056;1,009E+16;607;3955;976;265;60;1044;700;10;10;200
Irish Red Ale;2082;1047;1014;434;2623;1374;2461;90;104;700;;;1889
American IPA;2082;1038;1006;422;965;431;2839;60;1028;350;15;;200
Irish Red Ale;220;1,049E+16;1011;497;2084;1705;270;60;104;650;;;190
American IPA;1893;106;1011;649;8441;803;2271;60;105;750;;;
American IPA;2082;1063;1012;666;5963;851;2839;90;1046;700;;;
American IPA;852;1063;1013;658;6142;957;123;60;1044;750;;75;200
American Pale Ale;2082;106;1011;639;439;1028;2744;60;1046;700;15;;200
Saison;379;1062;1006;728;2088;547;757;60;1031;650;;;-1778
Imperial IPA;2082;1087;1012;986;8714;687;2839;60;1064;700;132;75;200
American IPA;2082;1071;1,019E+16;684;476;556;2744;60;1054;700;125;10;200
American IPA;1893;1057;1015;553;6595;384;2839;60;1038;700;14;35;1944
American IPA;270;1063;1014;649;6858;1379;335;60;1051;700;25;35;190
American Pale Ale;1893;1026;1,009E+16;225;749;727;2271;60;1021;700;27;;
Saison;1325;1064;1013;668;3992;568;1136;60;1074;700;15;75;2111
American Pale Ale;210;1051;1012;51;4202;102;300;60;1036;650;;75;200
American IPA;2082;1065;1013;683;3851;666;265;60;1,049E+16;700;14;;
American Pale Ale;2082;1,049E+16;1014;466;6204;2143;2461;60;1042;780;13;75;200
American IPA;230;1055;101;589;4588;622;270;60;1047;750;35;75;170
American Pale Ale;260;1044;1,009E+16;468;4779;835;300;60;1038;700;;35;200
Robust Porter;1211;1082;1,019E+16;817;605;4284;1476;60;1067;688;13;35;2111
American IPA;265;1065;1014;667;6655;1414;3218;60;1053;700;15;5;2056
American Pale Ale;1893;1057;1014;565;3212;75;1325;60;1051;650;;;200
Robust Porter;2082;106;1015;594;0;3189;3028;60;;700;;;
American Pale Ale;750;1,059E+16;101;649;2731;549;800;70;1056;850;30;75;190
American IPA;1893;1061;1016;597;9369;38;1136;30;1102;350;;;2056
American IPA;200;1,059E+16;1012;614;4916;115;240;60;1,049E+16;700;;;170
Imperial IPA;2461;1083;1,019E+16;83;15434;762;2934;90;;700;;;
Robust Porter;160;1057;1011;601;3703;2619;180;60;1051;650;40;5;230
Saison;2271;1061;1016;596;2655;387;2839;90;;730;;75;
American IPA;2082;1069;1016;699;6824;499;265;60;1055;700;125;;1889
American Pale Ale;4542;1051;1011;529;5421;506;530;60;1044;800;;;
American Amber Ale;800;1053;1012;53;2977;1267;1000;90;1042;750;30;75;180
American IPA;2271;1072;1015;745;13598;604;2839;90;1057;700;133;125;200
American Light Lager;2082;102;1005;20;1907;24;2839;60;1015;700;;;
American IPA;4542;1056;1014;555;7659;38;4921;60;1052;700;15;35;200
Robust Porter;2271;1069;1016;693;6437;2987;3028;60;1051;750;;10;1556
American IPA;230;1075;1021;707;5876;616;310;60;1056;700;30;;200
Imperial IPA;2082;1089;1,019E+16;919;31004;67;2839;90;1065;700;125;;
American IPA;210;162444;3,22786E+16;707;5994;1017;285;70;121;760;30;75;210
Irish Red Ale;1893;105;1013;491;1806;1206;2271;75;1042;750;15;35;200
American Pale Ale;3785;1055;101;598;4192;848;530;60;104;700;22;;1833
American Light Lager;2082;1067;1,007E+16;777;4608;1817;2839;60;1,049E+16;350;;35;2333
American IPA;5867;1097;1,017E+16;1044;27873;92;6814;90;1083;650;15;;
Imperial IPA;2082;1084;102;841;29303;607;2839;60;;700;;;
American Pale Ale;200;1045;1,009E+16;474;3599;714;120;60;1075;700;;;200
Robust Porter;2177;105;1,009E+16;554;3279;3455;265;60;1041;750;;75;1833
Blonde Ale;700;1058;1011;606;2952;488;795;60;1051;780;275;;
American IPA;2082;1051;101;539;1456;763;946;60;1111;350;;;2111
Blonde Ale;1893;1041;101;405;1386;585;265;60;1,029E+16;700;;;
American IPA;2082;1064;1014;665;7035;659;2461;60;1054;720;20;;1778
Sweet Stout;2271;105;101;523;2439;2795;1893;60;106;660;;;200
American IPA;2082;1064;1015;648;682;932;265;60;105;700;15;10;200
American IPA;1893;1072;1,019E+16;697;5787;834;2498;60;1054;250;;35;2056
Imperial IPA;4164;1074;1021;695;6271;926;4542;75;1068;900;15;5;1778
Irish Red Ale;2082;1058;1014;574;1653;1559;2839;60;1042;700;;125;2111
Saison;1893;1054;1,009E+16;585;2072;617;1949;15;1052;350;;;2111
American Pale Ale;2082;1052;1013;503;4241;776;265;60;1041;700;15;;
American Light Lager;40;1041;101;40;4824;438;60;60;1,027E+16;500;;;
Saison;1893;1061;1012;643;529;503;946;60;103;350;;;
Saison;2082;1048;1,009E+16;505;2757;313;2082;60;1048;710;15;20;2667
American Amber Ale;6435;1048;1014;448;3115;106;8139;60;1038;700;15;;
Irish Red Ale;2082;1055;101;586;2229;1443;2839;60;104;700;;;
American Pale Ale;250;1048;1,009E+16;503;3689;31;300;90;104;750;30;;185
Saison;2082;107;1015;714;4129;418;265;60;;700;;10;1833
American IPA;2082;1068;1,017E+16;671;0;113;2839;90;105;720;15;;
American Pale Ale;250;1051;1012;504;4099;456;320;90;104;700;30;;
American Pale Ale;180;1045;1011;441;4196;652;190;60;1042;680;;;210
American IPA;240;105;1,009E+16;537;3155;584;280;60;1043;730;30;;180
American Pale Ale;200;1051;1,009E+16;552;3858;566;230;60;1044;700;;75;180
American Light Lager;1136;1091;1022;912;4272;2147;1703;60;1061;720;125;10;200
American IPA;220;1069;1014;72;940;571;265;90;1057;700;;;200
Imperial IPA;2082;1057;101;628;10115;865;1514;60;1079;150;;125;1944
American IPA;1893;1069;1,017E+16;677;5194;681;2555;60;1051;750;15;;
American IPA;1893;1072;1016;731;6713;872;2461;60;1055;700;;10;1778
American Pale Ale;1514;1056;1013;56;7032;56;1514;60;1056;350;;35;2278
Saison;1514;1055;101;596;2308;458;1893;60;1,009E+16;350;;10;
American Pale Ale;1987;1063;1015;636;8749;769;265;60;1048;700;86;5;200
American IPA;200;1052;101;558;4435;1056;110;60;1095;350;;35;180
Blonde Ale;245;1056;1016;529;3716;425;285;80;1048;740;;5;200
American IPA;180;106;1011;636;5309;692;95;60;1063;500;;35;220
American Amber Ale;4164;1053;1011;551;2029;1361;4921;60;1045;750;132;75;200
American Pale Ale;1136;1056;101;60;4919;38;1741;60;1037;700;125;5;200
American Pale Ale;2082;1062;1016;598;8851;558;2839;60;1045;700;15;35;200
American IPA;220;1,059E+16;1011;629;529;755;260;60;105;750;;75;200
American Pale Ale;1893;1062;1014;628;4982;471;265;60;1044;700;15;75;1833
American Light Lager;120;1044;1008;472;0;398;170;60;1031;700;30;;
Robust Porter;180;1,059E+16;1,017E+16;55;487;3722;200;60;1053;650;;75;180
Robust Porter;4164;1,066E+16;1,017E+16;654;4298;2857;4542;60;1061;750;125;;1944
Saison;500;1052;1012;522;2195;824;570;70;1046;730;;;180
American IPA;2082;1068;1,017E+16;669;2486;511;2839;60;105;600;10;;
American Amber Ale;280;1,039E+16;1,007E+16;413;4103;1768;350;60;1031;600;30;;
American IPA;2082;105;1,009E+16;539;1325;606;1703;60;1061;650;;;
American IPA;210;1061;1013;627;6016;592;250;60;1051;700;;75;180
American Pale Ale;1987;1051;1,009E+16;551;2333;575;265;60;1038;700;15;75;
Saison;210;105;1011;501;311;448;285;90;1037;700;30;;
American IPA;757;1074;1,019E+16;731;16257;1348;908;60;1062;680;15;;
American IPA;1703;1056;1013;565;5466;489;1136;60;1085;10;;35;200
American Light Lager;230;1,049E+16;1,009E+16;52;7739;1453;285;60;104;750;30;;180
American Light Lager;270;1,049E+16;1012;481;1735;466;120;60;111;350;;;
American Light Lager;500;1055;1012;573;3336;339;550;60;105;850;30;;120
American Light Lager;379;1082;1021;809;0;0;2839;60;1011;660;;;
American Light Lager;1514;1264;1,059E+16;2685;0;674;1514;60;1264;350;;;
American IPA;4542;1062;1015;609;11173;642;530;60;1053;800;;;
American IPA;4542;1046;1,009E+16;495;6884;757;511;60;1041;800;15;75;1944
American Light Lager;2082;105;1011;516;420;569;1136;60;1092;350;;;2389
American Light Lager;5678;1056;1014;552;0;377;4542;60;107;800;;;
American Light Lager;210;1052;1013;513;7303;633;280;60;1,039E+16;700;30;;
Irish Red Ale;2082;1043;1011;425;2784;832;265;60;1034;700;20;;
Saison;4921;1065;1013;683;2633;581;6057;90;1053;850;15;;
American IPA;1968;1056;1014;554;9219;1026;1514;60;1073;780;;35;1889
American Pale Ale;5000;105;1011;509;4678;677;5020;90;105;750;60;;200
Sweet Stout;1893;1,059E+16;1,017E+16;552;3359;500;2366;60;1047;350;15;;
American Amber Ale;1893;1,059E+16;1016;556;3904;848;1893;60;1,059E+16;350;;35;2111
Irish Red Ale;2082;116;1045;1515;0;846;1136;60;1294;350;;20;
American Pale Ale;500;1058;1012;593;4806;855;590;60;1,049E+16;750;28;;190
American Amber Ale;2082;1055;101;59;8101;1487;2839;60;104;700;15;5;1889
American Amber Ale;1893;1,059E+16;1014;587;5746;1468;265;60;1042;700;15;10;2056
American Pale Ale;2082;1065;1,017E+16;627;5444;709;2839;60;1047;630;15;;
Imperial IPA;3785;1069;1016;702;651;527;4164;60;1063;850;125;125;2111
American Light Lager;2082;1,076E+16;1018;752;4008;576;2839;90;1056;700;15;;
Imperial IPA;2461;1092;1,029E+16;835;5804;927;3028;90;107;750;;10;2111
American IPA;2082;1054;1013;53;6416;795;1136;45;1099;350;;75;1556
American Pale Ale;120;1067;1,017E+16;66;4552;982;160;60;105;700;25;;180
American Pale Ale;500;1055;101;58;3345;436;530;60;1051;700;;;180
American Pale Ale;2082;105;1012;49;3842;1026;2839;60;1037;750;125;75;
American Pale Ale;2082;1055;1013;548;7127;691;1136;60;11;350;;;
Sweet Stout;2082;1092;1,019E+16;955;2712;400;265;60;;750;;;
Blonde Ale;200;1046;1,009E+16;484;3039;623;240;60;1038;700;;35;190
Saison;2082;1054;1,007E+16;621;2895;349;2271;70;105;800;13;125;2111
American Amber Ale;1893;1051;1014;484;2365;121;2461;60;;700;;;
American Pale Ale;1893;1044;1008;475;4109;784;265;60;1031;600;15;;2111
American Amber Ale;2082;1057;1011;609;4252;1605;2839;60;1042;650;;;1889
American Amber Ale;250;1052;101;547;3838;1581;315;60;1041;650;28;75;200
American IPA;2082;1055;1011;57;8741;819;1136;60;11;350;;35;1833
American Pale Ale;240;105;1,009E+16;539;2974;48;320;60;1038;720;30;75;180
Robust Porter;290;1061;1014;617;2971;400;350;75;1051;750;25;5;200
Blonde Ale;106;1043;1,009E+16;44;2504;516;1325;60;1034;700;;;200
American Pale Ale;3975;1,066E+16;1012;707;4633;851;4353;60;1061;700;115;75;200
Imperial IPA;4164;1077;1022;729;23615;1003;4921;90;1058;680;;75;200
American Pale Ale;4750;1,049E+16;1,009E+16;518;3213;329;4900;60;1047;750;15;;
American IPA;2082;1064;1016;634;5319;654;2839;60;1047;700;;;
Irish Red Ale;1798;1054;1011;572;2827;1767;1893;60;1052;600;;;2111
Robust Porter;2082;1056;1,019E+16;492;3645;3238;3218;75;1036;700;;35;
American Light Lager;200;1053;101;569;4156;421;230;60;1047;700;30;;220
American IPA;5678;1077;1015;811;15285;797;4542;60;;800;;;
Robust Porter;2082;1,059E+16;1,017E+16;562;5853;400;2461;60;;350;;35;2111
American IPA;5678;1082;1028;704;10931;645;4732;60;1,098E+16;680;125;;
American IPA;2082;1069;1015;706;1338;523;2839;75;1051;750;133;10;200
American IPA;100;1057;1013;579;7054;585;156;60;1037;700;;;
Robust Porter;2082;1058;1013;59;2937;2853;2839;60;1042;700;15;;
American IPA;2271;1052;1016;461;8903;581;3028;60;1,039E+16;780;;35;1556
American IPA;2082;1065;1,017E+16;666;602;596;2725;60;105;700;15;35;1833
Saison;88957;1054;1003;664;2357;489;109777;60;1042;550;15;;2444
American IPA;2082;1,066E+16;1015;668;7306;1385;2839;60;1048;700;133;75;1833
American Pale Ale;1703;1033;1011;283;6027;434;2082;60;1,027E+16;730;;75;1833
American Pale Ale;210;107;1,017E+16;70;5534;597;285;90;1052;800;30;;220
American Pale Ale;1893;1074;1025;65;8147;657;2271;60;1062;750;122;35;200
American Light Lager;2082;1043;1013;392;3555;146;1136;60;1079;350;;;1889
American Amber Ale;1893;1071;1018;693;4101;1504;2839;60;1047;600;15;;
American Amber Ale;123;1042;1,009E+16;443;3713;1311;2271;90;1023;800;15;;1778
American Pale Ale;320;1073;1,019E+16;711;9315;895;350;60;1067;650;20;75;180
American IPA;2082;1074;1023;667;11228;591;2461;60;1053;750;15;;
Imperial IPA;2271;109;1,019E+16;932;10502;1266;3634;90;1053;740;1225;10;1872
Saison;123;1048;1003;59;2079;2805;1514;90;1,039E+16;800;131;;
American Amber Ale;2082;1043;1011;413;4674;1082;265;60;1034;600;125;35;2222
American IPA;265;1,066E+16;1012;716;13082;486;3407;90;1052;800;15;10;1889
Blonde Ale;2082;104;1,007E+16;427;1595;816;2839;60;1,029E+16;700;;35;1833
American Pale Ale;180;1056;1,009E+16;61;641;726;230;60;1044;700;;;
American Amber Ale;2082;1064;1021;565;6299;2025;2839;60;1047;700;15;;
American IPA;500;1051;1012;52;2617;625;550;60;1047;750;;;
Blonde Ale;2082;1055;1012;567;5776;623;1136;60;1101;350;;;
American IPA;1893;1,066E+16;1015;666;8213;1083;2082;70;106;450;;75;2111
American Light Lager;2082;1044;101;443;2053;1431;2839;60;1032;700;15;35;200
American IPA;600;1055;1012;566;5581;1111;285;60;1117;700;30;;205
Blonde Ale;280;1,049E+16;1012;485;3339;345;250;75;1045;700;;10;190
American IPA;2082;1063;1014;649;7014;399;2725;60;1048;350;;;1889
Blonde Ale;200;104;1011;391;4988;678;300;90;1,027E+16;620;30;10;200
American IPA;230;1067;1012;726;7304;797;300;90;1052;700;30;;180
Saison;1987;1044;1008;473;2606;37;265;60;1033;780;125;;
American Light Lager;250;1056;1014;549;4462;734;300;60;1046;650;31;;
American Light Lager;130;1075;1,017E+16;755;5307;416;100;60;1097;800;;;180
American IPA;1893;1069;1014;715;9634;625;1136;60;1042;350;;35;2222
Saison;1893;1048;1006;546;3357;503;2271;90;104;700;125;75;2111
Saison;946;1073;1,019E+16;71;3287;787;757;60;1091;350;;;
American IPA;2082;1053;1013;523;4193;614;2839;60;1,039E+16;350;;;
American IPA;2271;1042;1,007E+16;457;6027;361;3028;60;1026;700;15;75;200
American IPA;230;1,066E+16;1018;636;7351;516;100;60;1072;700;;;
American IPA;1893;1055;1013;548;4843;443;2271;20;1046;700;;;1778
American IPA;200;1068;1013;721;20662;574;285;60;1048;680;30;5;190
American IPA;2082;1058;1011;619;6415;622;2839;60;1043;750;;75;
American IPA;473;1061;1014;607;7068;601;757;60;1038;700;15;;
Blonde Ale;220;1042;1008;451;3196;492;280;60;1033;750;;;200
American IPA;200;1011;1003;107;1394;323;300;60;1,007E+16;750;30;;150
American IPA;150;1077;1024;706;4167;587;75;30;1155;600;;5;200
American IPA;1325;106;1015;592;6265;482;1514;60;1053;700;;35;200
American Amber Ale;2082;1055;1014;544;3772;1469;2461;60;1047;840;15;75;1667
American Pale Ale;1893;1051;1015;469;2354;554;2839;60;1034;700;125;;200
Blonde Ale;2271;1058;1006;68;2659;429;3785;60;1035;650;;35;2056
American Amber Ale;4500;105;1012;499;6661;1588;5400;60;1042;760;30;35;210
American IPA;2082;1074;1,019E+16;719;7303;1306;2082;90;1074;400;;;2111
Saison;2082;1063;101;70;2516;647;2839;60;1046;750;;;2111
American IPA;50;1052;1013;512;3144;522;82;60;1032;650;;;
American Pale Ale;123;1,049E+16;1006;56;418;463;1514;60;104;770;;10;200
Irish Red Ale;240;1,049E+16;1014;467;4211;2681;120;60;1099;350;;;200
American IPA;2082;1,066E+16;1,017E+16;645;4698;618;2839;60;1048;750;125;35;200
American IPA;2082;1057;1014;572;409;1033;2839;60;1042;650;15;;1972
Robust Porter;2082;1041;101;403;2195;3185;265;60;1032;700;;;
Blonde Ale;2082;1048;1,009E+16;514;1989;557;2461;60;1041;700;12;75;200
American Pale Ale;230;105;1,009E+16;531;446;907;300;60;1038;750;30;;170
American IPA;250;1065;1015;658;798;611;285;60;1057;800;;;230
American IPA;2600;105;1012;498;5076;883;2800;90;1046;700;25;125;200
American Pale Ale;1893;1057;1016;531;5661;595;1136;60;1095;350;;;
American Pale Ale;550;1047;1012;458;3907;561;300;60;1085;700;27;75;200
American Light Lager;208;1063;1012;672;7464;841;2502;60;1053;700;31;;
American IPA;2271;1064;1025;51;750;733;2839;60;1051;750;15;35;2167
Saison;200;1042;1008;454;3018;35;240;90;1035;650;;75;210
Imperial IPA;2271;1102;1023;1034;13621;634;3028;90;1,076E+16;800;20;75;1667
American Light Lager;210;1067;1,017E+16;657;0;384;110;60;1127;350;;;
American Pale Ale;220;1,066E+16;1011;726;4247;1236;200;60;1073;750;;;
American IPA;3785;1,076E+16;1022;71;6474;589;530;60;1054;750;15;;1889
American IPA;7949;1069;1016;694;6279;3568;8494;60;1065;750;20;;
American IPA;2082;1061;102;544;5927;91;2839;60;1045;620;15;;200
American IPA;2082;1,066E+16;1012;704;8396;592;2839;60;1048;700;125;10;1889
American IPA;230;1073;1014;77;1075;3774;280;75;106;750;27;;200
American Light Lager;341;114;1035;1378;0;548;303;60;1158;350;;5;
American IPA;210;1051;1,009E+16;56;4831;1173;250;60;1043;640;23;;180
American Pale Ale;450;1,049E+16;1013;475;4131;857;480;70;1046;600;375;10;170
American Light Lager;100;1041;101;407;0;304;120;10;1034;700;25;;
American IPA;2271;1064;1011;689;8636;724;3218;60;1045;630;15;;
American Light Lager;4542;109;1022;883;0;614;530;60;1077;700;15;;
American IPA;4164;106;1011;647;5886;1169;4732;60;1053;770;;;
Saison;3785;1065;1014;679;3389;433;4542;60;1054;780;15;35;2222
American Amber Ale;135;1056;1014;543;7142;1514;150;60;105;740;20;35;200
Imperial IPA;200;1063;1015;638;7085;1297;285;60;1044;350;30;35;200
American Light Lager;1987;1057;1014;562;6641;612;2536;60;1045;650;15;;
American Light Lager;2082;1061;1015;615;8437;1054;2839;60;1045;600;15;125;1722
American IPA;155;1056;1014;565;5411;45;170;30;1051;770;30;;190
Sweet Stout;200;1,059E+16;1023;473;2426;400;200;60;1,059E+16;350;;75;180
American Light Lager;1136;1063;1016;621;8656;425;2461;60;1,029E+16;800;;;
Irish Red Ale;2082;1041;1011;389;2056;1791;2366;30;1036;630;;35;200
Saison;250;1054;1016;495;3331;631;280;90;1048;750;30;10;200
American IPA;45;1056;101;608;6379;862;70;60;1036;600;25;;
American IPA;2082;1065;1015;649;14197;674;2839;60;1047;750;15;;
Irish Red Ale;1893;1054;101;576;0;1829;265;30;;750;;;
Saison;1893;1083;1016;873;2383;1572;2839;90;1055;700;125;;200
Robust Porter;240;1061;1,017E+16;573;3158;3359;285;60;1051;700;;;190
American IPA;2271;1078;1025;705;6066;706;265;60;1061;700;;5;2111
American IPA;200;1068;1016;681;6978;668;230;60;1,059E+16;670;;5;200
Blonde Ale;2461;1052;1015;494;2561;446;3218;60;104;750;;35;1833
American Pale Ale;230;1064;1015;635;305;594;285;60;1051;750;30;;
Robust Porter;210;1063;1014;642;456;3477;280;60;1047;700;30;;
American IPA;2082;1052;1014;491;9152;956;265;60;1041;700;16;35;2111
American Pale Ale;1893;1054;1013;529;3469;1228;265;60;1038;350;;35;2222
Irish Red Ale;379;106;102;523;1875;1874;492;60;1046;500;;5;2111
American IPA;200;1,066E+16;1,017E+16;653;540;1082;260;60;1051;750;26;;
American Light Lager;946;1053;1,009E+16;58;2482;1305;142;60;1035;700;15;;
American Amber Ale;2082;1047;1015;426;3414;421;2839;60;1035;840;;35;200
American IPA;100;1064;1016;631;6129;45;110;60;1058;700;30;;200
American Pale Ale;230;1043;1,007E+16;463;3404;533;300;60;1033;650;43;;180
American IPA;200;164167;377304;688;6927;93;230;60;144;600;30;;
American IPA;290;1061;1013;64;7471;962;340;60;1052;780;30;;650
American Light Lager;164665;1052;1013;51;1007;388;164665;90;1052;850;15;;
American Amber Ale;1893;1053;1015;50;6413;1369;2461;60;;700;;;
American Light Lager;250;103;1008;296;0;317;285;60;1026;500;30;;
American IPA;800;1041;1008;433;5079;689;850;60;1038;700;30;;
American IPA;1893;1062;1016;612;0;744;1893;60;;750;;;
