Style;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;PitchRate;PrimaryTemp
Imperial IPA;2158;107;1008;806;8153;1044;265;60;1057;800;;;2222
American Pale Ale;50;1048;1,009E+16;506;0;443;135;60;1018;750;;;180
American Amber Ale;220;1054;1014;535;2518;1722;260;60;1046;680;30;;
American Light Lager;270;1046;1,007E+16;506;2378;655;110;60;1112;350;;;160
American IPA;2233;1074;102;704;15197;1271;2574;75;1047;750;;75;2222
American IPA;3785;1063;1011;687;7451;54;4921;60;1,049E+16;720;15;;1667
American IPA;2082;1062;1011;66;8596;629;2555;60;105;800;15;125;
American Pale Ale;200;1046;1008;497;3062;612;260;60;1035;740;25;;170
American Amber Ale;1893;1065;102;586;6593;1288;2082;60;1,059E+16;350;;5;200
American IPA;1893;1062;1018;569;6634;803;2839;60;1041;700;;35;200
American Pale Ale;250;1053;1011;549;4815;916;350;90;1038;650;20;;
Blonde Ale;1893;1048;1008;528;2308;449;2271;60;104;600;;5;200
American Pale Ale;130;1051;1012;519;4324;926;210;70;1032;700;25;10;230
Robust Porter;2839;1064;1015;648;5335;3221;3785;60;1048;700;125;35;1833
American Pale Ale;550;1052;1,009E+16;568;4119;966;600;90;1048;700;40;;200
American IPA;240;1064;1012;675;7098;402;240;60;1064;350;;;220
American IPA;2082;1072;1,017E+16;721;8411;774;2461;60;1061;700;11;;200
Robust Porter;380;1062;1012;662;4755;400;490;70;1048;670;;35;200
American Pale Ale;2082;1055;1011;577;5736;732;2461;40;1047;700;15;;2222
American IPA;300;1048;1,009E+16;508;3649;852;500;60;1,029E+16;700;30;;220
American IPA;2082;1053;1011;549;9211;733;2839;60;1,039E+16;600;15;;200
American Pale Ale;1893;106;1,017E+16;564;4711;116;2461;90;1046;750;15;35;2222
Saison;1893;1064;1014;657;3494;92;2839;60;1043;750;125;35;200
American IPA;2271;1071;1,017E+16;709;7677;748;3028;60;1053;650;;;1944
American Pale Ale;2082;1,059E+16;1014;591;424;65;2839;90;1043;700;15;75;200
American IPA;757;1069;1016;689;6828;898;1514;60;1034;750;20;35;200
American Pale Ale;210;1,059E+16;1012;618;5058;424;285;60;1043;700;30;;190
American Pale Ale;2082;1054;1,017E+16;486;6092;924;2461;60;1045;700;;;
Robust Porter;1893;106;1016;578;8647;3602;2461;60;1046;700;15;;1778
American IPA;2271;1057;101;621;6188;662;2839;60;1045;880;;10;1944
American Pale Ale;2082;1042;1011;413;0;272;1514;60;1058;1000;;;
American Amber Ale;220;1065;1016;674;2992;1672;260;60;1055;760;;75;210
American Amber Ale;2082;1053;1013;521;378;1183;2839;60;1,039E+16;800;;35;2222
American IPA;1893;1048;1012;471;5855;391;1514;60;106;720;15;75;200
American Pale Ale;240;1,039E+16;101;38;6025;712;285;60;1033;600;25;5;175
American Pale Ale;946;1079;102;776;0;965;1893;60;;750;;;
American Pale Ale;150;123751;218643;544;6362;957;190;60;99;750;;75;190
American Pale Ale;2082;1051;1,009E+16;555;3672;725;2839;60;1038;700;125;125;200
Sweet Stout;210;108;1028;687;3644;3437;285;60;1,059E+16;850;30;;
American Amber Ale;2082;1068;1012;737;6388;2063;265;60;1054;650;15;5;2389
American Pale Ale;1703;1052;101;553;3285;571;2271;60;1,039E+16;720;17;75;1944
American Light Lager;500;1051;1012;508;3474;312;580;60;1044;750;31;;
American IPA;2082;1069;1014;72;10421;878;2839;60;105;600;15;125;1944
American IPA;424;1112;1023;1166;13795;841;530;60;1089;702;;35;2111
American IPA;2082;1074;1,017E+16;753;4316;977;2839;60;1054;780;125;;
American Pale Ale;500;1048;1013;452;5266;893;500;60;1048;680;;;
Blonde Ale;1893;1,059E+16;1012;614;7452;642;2271;60;1,049E+16;350;;;200
Blonde Ale;140;105;1014;473;40;368;50;30;114;350;;35;180
American Pale Ale;1987;1058;1011;612;3684;829;265;60;1043;700;158;;1778
Saison;1893;1048;1008;521;4308;54;2839;60;1032;350;15;35;2389
Blonde Ale;43154;1,049E+16;1012;488;1438;403;46939;60;1045;750;15;;
Irish Red Ale;280;1047;1012;466;2062;1657;320;60;1041;700;50;35;180
American IPA;1893;1075;1,019E+16;737;7775;646;2271;60;1062;350;;;1778
Irish Red Ale;2082;1067;1018;645;306;1375;2839;60;1,049E+16;700;6;;
American Light Lager;100;1048;1008;518;0;1212;110;60;1044;700;30;;190
American Pale Ale;3028;1054;1011;559;4637;724;3596;60;1046;750;15;75;200
American IPA;600;1,066E+16;1,017E+16;634;8086;841;700;60;1056;700;30;;200
Robust Porter;2271;106;1016;577;3163;3476;3028;75;1042;730;;;
Blonde Ale;2082;1054;1,009E+16;585;2577;43;2839;60;1,039E+16;770;15;;
American IPA;1893;1064;1016;631;6457;824;2461;60;1,049E+16;790;;;
American IPA;2082;1065;1015;654;4279;541;2839;70;1047;800;133;10;1667
American Light Lager;95;1041;101;409;3531;1751;130;60;103;500;;;200
American Pale Ale;200;1043;1,007E+16;47;2919;501;265;60;1033;700;;5;180
American IPA;2082;1051;1013;499;8646;92;2839;60;1038;700;20;5;200
Saison;2082;1062;1013;64;3926;789;2839;90;;750;;;
Robust Porter;2082;1061;1,017E+16;573;3526;3693;265;75;1048;750;;125;1944
American IPA;379;1067;1,017E+16;655;6647;1054;284;60;1089;350;;;1833
American IPA;2271;1071;1014;759;9466;694;3312;60;1,049E+16;660;;10;200
American Pale Ale;230;105;1011;507;2588;611;180;60;1063;350;;;
American Amber Ale;4542;1058;1016;565;3981;1338;511;60;1051;800;15;75;200
Saison;208;1062;1014;622;4163;396;284;90;1045;750;60;5;
American IPA;1185;1063;1015;632;3303;894;142;60;1052;890;;75;200
American Pale Ale;250;1045;1008;475;3357;706;300;60;1037;700;;;
American Amber Ale;230;1055;1014;539;3095;2718;280;60;1045;700;;75;190
American IPA;2271;1,059E+16;1014;60;5521;1526;2839;60;1047;700;15;;200
American Pale Ale;100;1056;1,009E+16;61;4338;1274;100;60;1056;540;;;150
Blonde Ale;4164;1048;1012;468;551;464;511;60;1,039E+16;750;14;;
American IPA;200;105;1011;512;8351;424;250;60;104;610;277;35;200
Robust Porter;2082;1056;1016;526;4084;2658;265;60;;700;;;
American IPA;2271;1,059E+16;1011;622;5767;634;307;60;1043;700;30;5;1833
American IPA;210;1075;1,019E+16;727;6454;805;285;60;1055;780;31;35;180
American Pale Ale;300;1051;1012;522;3479;764;400;60;1,039E+16;700;30;35;190
American IPA;2082;1089;1,017E+16;946;10801;684;3028;60;1061;700;;;
American IPA;2082;1057;1015;541;7869;37;265;60;1044;700;15;;1833
American Light Lager;380;1041;101;40;160;199;400;60;1,039E+16;850;30;;270
Saison;1893;104;1008;42;2525;416;1136;60;1067;350;;35;2222
American Pale Ale;1893;1067;1,017E+16;66;0;1169;1893;60;;750;;;
American IPA;210;1097;102;1007;6093;1614;100;60;1203;350;;;200
American IPA;1893;105;1014;472;0;105;1893;60;;750;;;
American IPA;1893;1073;1,017E+16;741;2078;1372;2839;60;1,049E+16;350;15;;2222
Blonde Ale;180;1063;1011;676;2541;682;230;60;1,049E+16;700;35;35;180
American IPA;4164;1064;1011;703;6814;1017;4732;60;1057;700;15;;
American Pale Ale;1893;1045;1011;444;3997;69;2461;60;;750;;;
Saison;240;105;1,007E+16;568;4215;309;260;60;1047;730;;;190
American Amber Ale;1893;1057;1015;543;3894;1522;2461;60;1044;700;15;35;1667
Saison;100;1,039E+16;1,007E+16;426;2194;543;120;60;1033;750;;75;240
American IPA;1893;1081;1023;769;0;2362;1136;60;1136;350;;;
American Pale Ale;210;1057;1013;572;3725;743;285;60;;650;;75;190
Saison;45;1062;101;678;3997;36;130;60;1021;700;;10;
Saison;200;104;1,009E+16;408;3267;435;240;60;1033;700;;;
American IPA;40;1058;101;631;6266;825;70;60;1033;700;31;;200
American Pale Ale;240;1,059E+16;1015;578;6597;455;277;60;1051;860;335;75;200
American Pale Ale;2082;1056;1013;569;285;517;2461;60;1048;800;;;2111
American Pale Ale;3028;1052;1011;538;4282;528;3785;60;1041;600;;;1778
American IPA;2082;1082;1022;779;16246;494;2839;60;106;700;15;35;1833
American IPA;230;126372;3,01826E+16;515;10074;423;270;65;108;600;31;75;210
American IPA;1250;1,059E+16;1013;599;5748;508;1450;60;1051;700;30;;200
Sweet Stout;2082;1065;1025;527;3589;416;2839;60;1048;700;15;;2056
Sweet Stout;200;1056;1018;503;3758;4466;400;60;1,019E+16;720;29;5;180
Blonde Ale;4542;1064;1016;629;1849;669;5678;60;1051;850;125;10;1944
American IPA;250;1065;1015;662;0;1009;330;90;1,049E+16;700;32;75;190
American Pale Ale;170;1055;1013;548;3574;802;200;65;;700;;;200
American Pale Ale;210;1045;1,009E+16;481;2725;729;110;60;1,086E+16;350;;;
American IPA;1136;1064;1016;631;8534;90;142;60;1051;750;15;;
American IPA;210;1053;101;571;3895;751;285;60;1,039E+16;740;30;;200
American Light Lager;20;1035;1,009E+16;342;0;411;20;60;1035;750;30;;
American IPA;1893;1061;1012;653;8138;483;2839;60;1041;700;15;;
American IPA;60;1075;1014;803;9306;693;100;90;1045;550;30;;250
Saison;2082;1058;1011;617;4604;398;2461;60;1,049E+16;700;15;35;2222
American Pale Ale;130;106;101;655;5671;426;150;90;1052;700;265;;
American IPA;205;1061;1012;648;5053;1113;240;60;1052;680;30;75;190
American IPA;210;1071;1013;767;10634;611;285;60;1053;700;30;;190
Irish Red Ale;230;1047;1012;458;2599;1934;257;60;1042;150;;;220
American IPA;157;1065;1015;661;6901;1007;220;60;1047;770;30;75;170
American Light Lager;1136;1061;1,019E+16;552;3729;1397;757;60;1091;750;;;
American IPA;2082;1068;1011;742;8843;612;2839;60;105;800;;;200
American Light Lager;1893;1065;1015;651;6248;575;265;60;1046;720;133;;
American Pale Ale;2082;106;1016;573;4096;584;3028;60;1041;700;15;125;
Sweet Stout;2082;1064;1024;519;381;418;2839;75;1047;700;125;35;200
American IPA;1893;1072;102;677;8364;773;2468;60;1055;750;15;;2111
American IPA;1893;1067;102;619;5543;1956;2839;60;1045;700;125;;200
Robust Porter;200;1051;1013;504;2785;2826;300;60;1034;650;30;;
American Amber Ale;2082;1047;1011;475;2202;1868;946;60;1104;750;;;
American IPA;1987;1068;1,019E+16;654;6587;834;2612;60;1052;750;13;75;2111
American IPA;2082;1077;1023;719;4246;582;2839;60;1057;700;;;200
American IPA;4542;1067;1011;733;5179;891;4921;90;1062;700;12;;1778
American Pale Ale;2082;1062;1012;656;5338;724;2555;60;1051;750;;;
American IPA;946;1067;1016;669;5438;589;1136;60;1056;350;;35;2222
American Light Lager;2271;1068;1,017E+16;678;3505;855;2839;60;1055;750;;;
American Pale Ale;250;1051;1012;516;5005;1329;280;60;;700;;;200
American Pale Ale;120;1045;1008;495;304;326;140;60;1,039E+16;700;;75;200
Imperial IPA;2177;1083;1012;93;11258;624;3596;90;1046;700;12;10;200
American IPA;2082;1068;1,017E+16;662;7352;83;1136;60;1072;350;;35;1833
American IPA;4164;1069;102;642;8142;849;4826;60;1,059E+16;750;105;5;1833
American IPA;2082;1055;1014;544;4724;611;265;60;1043;660;133;10;1722
Saison;250;1061;101;671;1834;745;310;60;1045;700;;;330
American IPA;1893;1057;1011;599;6228;968;2839;60;1038;600;;;200
American IPA;1893;1068;1013;724;1336;657;2839;60;1046;650;15;10;1833
Imperial IPA;4164;1078;1015;825;8358;784;4542;60;1071;700;15;10;1944
American IPA;852;1054;101;582;4762;708;1136;60;1,039E+16;800;;;
American IPA;2082;106;1012;635;7153;403;2839;60;1044;700;15;75;200
American IPA;1893;1061;1018;57;7521;43;1136;60;1102;350;;;
American Light Lager;2082;1037;1006;419;1111;246;2461;60;1032;700;;175;1278
American IPA;4164;1063;1,009E+16;714;18306;848;4542;60;1058;720;15;;1889
American IPA;2461;1034;1008;338;4703;338;3218;75;1026;750;15;;1556
American IPA;4164;1,066E+16;1016;657;12945;618;4732;60;1058;680;13;;
American IPA;220;1065;1015;651;8058;1147;280;90;1051;650;30;10;180
American IPA;80;1064;1015;636;5295;781;140;60;1036;750;;;
American Amber Ale;1987;1053;1013;517;2645;137;1136;60;1064;350;;;
American Amber Ale;420;1053;1,009E+16;576;517;2244;450;60;1,049E+16;700;25;;180
American IPA;1893;1058;1015;565;9464;642;2461;60;1045;580;15;35;200
Imperial IPA;2082;1077;1,019E+16;756;21218;1314;3218;60;105;700;;5;
American Light Lager;100;1037;1008;381;2067;274;120;60;1031;750;;75;200
American IPA;210;1065;1015;66;985;429;285;60;1048;700;;;220
American IPA;130;108;1025;721;7237;645;160;60;1,059E+16;750;30;;220
American IPA;1893;1073;1023;657;6542;59;1514;90;1091;750;15;;
Robust Porter;220;1074;1021;702;338;3624;280;60;1058;750;30;35;210
Irish Red Ale;2082;1055;1015;529;4494;134;2839;60;1041;700;133;;2111
American IPA;1893;107;1012;763;631;942;2839;60;1047;680;125;75;1833
American Pale Ale;2082;1053;1012;545;3764;1045;3244;60;1034;700;13;;2111
American IPA;100;1061;1014;62;6443;647;120;60;1051;700;30;;
American Pale Ale;1893;1053;1011;551;0;1255;1893;60;;750;;;
American IPA;2366;1058;1014;578;12534;64;1514;60;109;350;;;2111
American IPA;757;147895;3,65543E+16;602;6743;517;1136;60;100;650;15;75;200
American Pale Ale;250;121074;227338;524;3949;375;300;60;102;750;35;;
Blonde Ale;58674;1051;1012;516;2026;376;6738;60;1045;650;133;35;1944
Saison;2082;1058;1,007E+16;662;362;1138;2839;90;1042;800;125;5;2667
American Pale Ale;227;1056;1013;566;3729;759;265;60;1048;700;;75;190
Saison;480;1053;1008;598;2671;342;540;60;1047;830;25;75;220
American Amber Ale;1893;1069;1018;665;3697;1054;2461;60;1053;750;15;75;200
Saison;3785;1067;1013;706;6069;51;4542;60;1056;350;;;2111
Saison;2082;107;1014;731;3006;572;2839;90;1051;660;125;125;2667
American IPA;490;1057;101;621;6018;1125;630;90;1044;660;29;35;180
American Pale Ale;210;1058;1014;569;4253;74;110;60;111;750;;;200
American IPA;3785;1064;1014;66;8137;634;4542;60;1053;830;15;75;200
American Light Lager;1136;1063;1001;819;0;317;1136;60;1063;350;;;
American Pale Ale;350;1056;1,009E+16;611;477;1096;400;60;1,049E+16;650;25;75;190
Sweet Stout;100;1052;1018;457;5027;3878;120;60;1044;350;;35;190
Imperial IPA;1136;1075;1012;818;14704;623;1628;90;1052;700;15;125;1778
Imperial IPA;250;108;1016;843;10291;883;300;70;1067;700;;10;150
American IPA;2082;1063;1014;64;3918;703;2839;60;1046;750;15;;
American IPA;2006;105;1012;49;6181;1341;946;60;1,106E+16;350;;;
Imperial IPA;4164;1047;1013;443;4946;1079;4921;90;1036;800;15;35;1833
Imperial IPA;1893;1074;1,019E+16;732;13001;125;946;60;1149;350;;;
American IPA;2082;1069;1016;70;7809;771;2461;60;1058;650;15;5;1778
Saison;2082;1,059E+16;1011;639;3359;545;1136;60;1109;900;;10;200
Imperial IPA;1893;1088;1024;838;1102;1173;265;60;1063;750;;;200
American Amber Ale;1250;1055;1011;578;3506;1157;1330;60;1052;720;32;;
American IPA;1893;1051;1011;52;5405;1198;2839;60;1034;630;15;;200
American Pale Ale;2177;1063;1013;663;4225;793;265;60;;810;;;
American Light Lager;3407;1055;1011;588;3339;677;4164;60;1045;750;14;;
American Pale Ale;180;108;1015;848;14448;508;245;90;1,059E+16;750;30;;190
American Pale Ale;3785;1,059E+16;1015;578;3789;544;4542;60;1,049E+16;700;10;;
American Pale Ale;4164;1045;1008;484;5457;409;4732;60;104;750;132;75;1778
American Amber Ale;2082;1075;1025;651;2965;1789;3028;60;1051;750;;;
American Pale Ale;1893;1071;1024;617;3108;419;2271;60;1,059E+16;350;;10;1667
American Pale Ale;1000;1052;101;548;3019;64;1100;75;1047;740;30;75;190
American IPA;2082;1082;1,019E+16;829;19617;471;2839;60;106;720;15;;
American Pale Ale;1893;1061;1015;596;0;991;1893;60;;750;;;
American Pale Ale;210;1045;1,009E+16;478;3101;1015;110;60;1,086E+16;350;;;
American IPA;2271;1075;1014;801;611;485;265;60;1064;700;15;10;1944
American IPA;250;106;101;655;6449;38;285;90;1053;750;30;;180
American IPA;1893;1,059E+16;101;644;8018;1026;1136;60;1,098E+16;350;;35;200
Imperial IPA;190;1093;1023;916;13491;1304;284;90;1062;700;29;15;200
American Amber Ale;2082;1,049E+16;1,009E+16;518;4506;1048;2271;60;1045;350;;35;200
American Amber Ale;190;106;1015;588;3515;1218;250;60;1045;750;26;35;180
Saison;2082;1,059E+16;1012;618;2497;501;2461;70;;750;;;
American IPA;240;104;101;393;5306;2619;285;60;1034;580;31;;
American Pale Ale;4542;105;1,009E+16;541;3996;482;530;60;1043;750;15;;
American Pale Ale;210;1056;1016;526;2494;901;110;60;1,106E+16;350;;;
American IPA;9000;1062;1016;606;3976;55;9500;60;1,059E+16;700;30;;210
Blonde Ale;2082;1046;1,009E+16;487;2022;31;2461;60;1,039E+16;350;;;2222
Saison;2177;1087;1,007E+16;1053;8668;698;2707;90;106;690;151;75;1833
Saison;200;1,049E+16;101;513;4086;1359;250;60;1,039E+16;650;30;;
American IPA;2271;1071;1013;765;9711;851;2461;60;1065;740;15;10;1889
American IPA;250;1067;1011;726;9065;904;280;60;106;700;;10;180
Irish Red Ale;2271;1,049E+16;1,009E+16;524;4628;946;2839;60;1,039E+16;750;;;
Imperial IPA;190;1079;1,019E+16;797;4968;475;250;90;106;750;30;;
American IPA;18927;1057;101;614;10894;876;19495;60;1055;350;125;5;200
American IPA;2461;1,066E+16;1013;706;7788;511;1798;60;1091;350;;;
American IPA;1987;1065;1018;617;12727;3806;1514;60;1,086E+16;350;;;
Saison;1173;1057;1011;603;2696;493;1628;60;1041;650;;10;2222
Sweet Stout;2082;11;1021;1045;338;4996;2839;60;1073;880;15;;200
American IPA;1893;1073;1,017E+16;733;17389;625;2839;120;1,049E+16;700;125;;200
American IPA;2366;108;1023;747;4129;984;3028;60;1058;600;;5;2111
American IPA;1893;1062;1013;637;1728;419;2461;60;1047;700;125;5;200
Saison;4164;1058;1008;652;3352;454;5678;105;1042;680;125;75;200
American Pale Ale;1893;1028;1005;302;4737;802;2271;60;1023;350;;35;2222
American IPA;1987;1071;1018;693;6891;682;2839;60;105;720;15;10;200
Saison;500;1,076E+16;1,019E+16;746;2398;725;550;60;1069;900;30;;
American Pale Ale;1136;1,039E+16;1,007E+16;41;1972;858;1514;60;1,029E+16;350;;5;1833
American Pale Ale;1893;1046;1012;44;9858;454;946;30;1058;350;;;
American Light Lager;2082;1064;1015;644;4407;4191;2839;60;1047;700;15;75;2056
American IPA;4164;106;1012;652;4781;637;5678;90;1044;780;125;125;2056
American IPA;210;1058;1012;608;5412;989;285;60;1043;800;30;35;200
Imperial IPA;1893;1083;1025;764;12316;1061;2839;90;1055;700;125;;200
American IPA;200;1074;1013;806;3047;911;300;90;1045;350;;;190
Saison;2082;1052;101;551;4123;586;2385;60;1045;650;6;35;
American Light Lager;300;1037;101;351;1628;3373;300;60;1037;600;;;
American IPA;200;107;1,017E+16;693;5835;712;240;60;1058;680;30;75;170
Irish Red Ale;2082;1061;1,017E+16;571;1519;2293;2839;60;1045;750;15;;2111
Saison;3785;1057;1014;589;3171;42;4542;60;1048;620;125;5;2111
American Amber Ale;140817;1064;1015;647;3444;1223;147253;60;1061;860;15;125;200
American IPA;2082;1,066E+16;1016;659;6938;424;2461;60;1056;700;;35;200
Saison;2082;1051;1008;554;2981;47;2839;60;1037;700;15;35;1833
American Pale Ale;1893;1053;101;557;4559;703;2082;60;1048;550;;35;200
American IPA;1942;1061;1016;592;986;852;1136;60;1034;350;;35;2222
American IPA;2082;1052;1013;514;4856;678;2839;60;1038;700;20;;
American Pale Ale;420;1058;1015;571;3573;629;285;60;1085;700;30;;
Sweet Stout;27634;1067;1022;598;0;400;28958;60;1064;730;;;
American IPA;210;1,066E+16;1014;706;7819;607;285;60;1048;760;27;;190
American IPA;2271;1054;1014;531;3392;788;3028;60;1041;750;15;75;2111
Saison;379;1062;1015;608;2954;615;606;60;1,039E+16;650;15;;
Blonde Ale;1200;1044;1011;434;2263;896;1300;60;1041;650;31;;
American IPA;2082;1065;1016;64;7091;956;2839;60;1047;720;125;35;1667
American IPA;2461;1056;1011;59;4187;396;265;15;1052;720;;75;200
American Light Lager;946;1084;1015;908;4344;613;1276;90;1063;750;133;10;2111
American Light Lager;2082;1031;1008;301;0;31;1136;60;1056;350;;;
American Light Lager;2082;1043;1,009E+16;452;0;373;2801;60;1032;750;15;;
American IPA;2082;1,059E+16;1016;555;7025;762;2839;60;1043;750;15;;1722
American IPA;2082;1,059E+16;1,017E+16;579;2028;458;2839;60;1043;600;;75;1944
American IPA;200;1054;1,009E+16;592;5366;502;300;60;1036;700;;;200
American IPA;2082;1065;1016;638;723;1662;2839;60;1048;700;15;;
American IPA;2082;1064;1016;625;8422;709;265;60;105;700;;;
American IPA;2082;1069;1014;729;1191;799;2839;60;1051;700;144;125;1667
American Pale Ale;2082;1057;1015;554;4214;851;2839;60;1042;700;;;
American Amber Ale;2271;1047;1008;506;2111;1377;1514;60;107;700;;;
American IPA;210;166383;3,49498E+16;715;5397;753;240;60;147;720;;;190
Blonde Ale;4732;1051;1,009E+16;572;2333;578;5489;60;1044;740;125;75;1833
Robust Porter;1893;1047;1015;422;2664;2928;2699;90;1033;720;;;200
American IPA;215;1053;101;556;1009;518;260;60;1044;700;;;180
American IPA;1893;1,066E+16;1013;697;14718;753;2461;60;1051;650;175;5;2056
American IPA;3785;1062;1,017E+16;589;21269;528;4164;60;;700;;;
American IPA;2082;1061;1012;644;5147;851;265;60;1048;350;15;;
Imperial IPA;1893;1074;1018;735;8362;894;2839;60;105;750;15;35;200
American Pale Ale;2271;1051;1,009E+16;548;3769;661;2839;60;1041;720;;;
Saison;2271;1063;1012;664;4271;376;3028;90;1047;850;15;35;2222
Imperial IPA;3785;1093;1014;1034;8423;1479;3407;60;1103;780;;;
American Pale Ale;400;106;1015;593;4426;555;500;60;1048;750;;;
American Light Lager;210;1048;1011;475;5368;648;250;60;104;600;;;
American IPA;200;1044;101;445;2544;713;250;60;1035;650;373;;
Sweet Stout;400;105;1,019E+16;408;4411;3525;470;60;;700;;75;230
American Light Lager;19;104;101;398;0;265;20;60;1038;650;;;
American Pale Ale;175;1036;1011;327;350;793;150;20;1032;700;;75;150
American Pale Ale;125;1044;1,009E+16;472;3493;567;160;60;1035;600;;10;220
Imperial IPA;1893;1074;1013;799;884;912;1514;60;1093;350;;;1778
American Amber Ale;2082;104;1,009E+16;413;1687;1556;1136;60;1074;350;;35;2389
American Light Lager;2082;1069;1,017E+16;682;33155;546;2839;60;1051;600;15;35;200
American Pale Ale;2461;1053;1014;503;4041;563;2839;60;1046;750;;;
American Pale Ale;370;1034;1003;405;3385;608;400;60;1031;640;;75;200
American IPA;2082;1075;1013;815;0;839;2839;60;1055;700;;;1722
American IPA;210;1063;1016;614;6849;728;260;90;1051;690;;;190
Robust Porter;2082;1057;1016;542;5045;2665;1136;60;1105;350;;75;200
American Light Lager;10000;1053;1013;519;2665;106;5000;90;1105;800;31;;
American Light Lager;550;1054;1,009E+16;593;7572;679;600;60;105;750;30;35;170
Imperial IPA;4353;1097;1024;97;11357;1206;511;90;1083;680;125;125;2167
American IPA;1893;1057;1014;55;0;80;2271;60;;750;;;
American Amber Ale;3785;1053;1016;493;3107;144;4542;60;1044;650;15;5;200
Saison;757;1051;1013;498;1731;366;1703;75;1023;750;;35;2111
American Pale Ale;210;1057;1014;564;3816;809;285;60;1042;700;;;
American Light Lager;190;1038;1005;429;2837;408;220;60;1033;350;;;180
Saison;230;1052;1004;623;2556;315;320;60;;750;;75;210
Sweet Stout;1893;1058;102;49;3671;3811;1893;60;1058;350;;35;1889
American IPA;270;1062;1015;613;4376;569;320;60;1052;600;30;75;180
American Pale Ale;210;1032;1008;312;5048;1134;250;60;1,027E+16;350;333;5;
American IPA;220;149916;389385;601;735;441;260;60;128;700;32;75;200
Robust Porter;64731;1054;1013;54;4838;3321;71544;60;1,049E+16;880;125;;
American IPA;40;1053;1,009E+16;572;6452;966;60;70;1035;750;31;5;220
Irish Red Ale;1893;106;1016;576;2115;1287;2271;60;105;530;15;75;200
American Pale Ale;250;1054;1,009E+16;586;3294;615;350;60;1038;750;30;;0
Blonde Ale;23000;1,039E+16;1,007E+16;419;1648;483;24500;60;1037;750;25;35;180
American Pale Ale;1514;1,049E+16;101;512;4528;882;946;60;1078;750;;5;200
American IPA;210;1056;1011;597;5729;968;285;60;1041;750;30;;240
American IPA;400;1052;101;546;6713;737;460;60;1045;700;;;150
American IPA;78;1055;1,009E+16;607;9233;358;100;60;1043;300;;5;190
American Pale Ale;230;1058;1013;588;2863;477;270;70;1,049E+16;700;30;35;200
American Pale Ale;120;1048;1013;454;3095;863;150;90;1038;600;;;230
Imperial IPA;250;1078;1,017E+16;802;6507;487;300;90;1065;650;25;5;220
Irish Red Ale;1893;1045;1011;445;2423;1205;2082;60;1041;700;13;;
